1,rations
2,boats
3,cross
4,Still Life with Fruit
4,Still Life
4,still life
4,Still Life with Fruit and Champagne
5,The Lovers' Boat
5,The Lovers Boat
5,the lovers boat
5,Moonlight
5,moonlight
5,With Sloping Mast and Dipping Prow
5,with sloping mast and dipping prow
5,Clearing Storm at Gibraltar
5,clearing storm at gibraltar
5,Capture of H.B.M Frigate Macedonian by U.S. Frigate United States, October 25, 1812
5,Capture of H.B.M Frigate Macedonian
5,Capture of HBM Frigate Macedonian
5,capture of hbm frigate macedonian
5,Aurora Borealis
5,aurora borealis
5,Looking out of Battle Harbor
5,looking out of battle harbor
5,On the Ohio River
5,on the ohio river
5,valparaiso harbor
5,Valparasio Harbor
5,Storm King on the Hudson
5,storm king on the hudson
5,Lago Maggiore
5,lago maggiore
5,Ponta Santa Trinita
5,ponta santa trinita
5,Lord Ullin's Daughter
5,lord ullin's daughter
5,Jonah
5,jonah
6,boost morale
7,better boats
8,gather food
9,cross now
10,1841
11,New Bedford
11,new bedford
12,Raphaelle Peale
12,raphaelle peale
12,Peale
12,peale
12,Terry Evans
12,terry evans
12,Evans
12,evans
13,collect food
14,secure boats
15,cross Delaware
15,cross delaware
16,improve morale
17,start mission
18,Melons
18,melons
19,Albert Pinkham Ryder
19,albert pinkham ryder
19,Albert Ryder
19,albert ryder
19,Ryder
19,ryder
19,Samuel Colman
19,samuel colman
19,Colman
19,colman
19,Thomas Chambers
19,thomas chambers
19,Chambers
19,chambers
19,Frederic Edwin Church
19,frederic edwin church
19,Frederic Church
19,frederic church
19,Church
19,church
19,William Bradford
19,william bradford
19,Bradford
19,bradford
19,James McNeill Whistler
19,james mcneill whistler
19,James Whistler
19,james whistler
19,Whistler
19,whistler
19,William Stanley Haseltine
19,william stanley haseltine
19,William Haseltine
19,william haseltine
19,Haseltine
19,haseltine
19,Childe Hassam
19,childe hassam
19,Hassam
19,hassam
19,Thomas Cole
19,thomas cole
19,Cole
19,cole
19,Paul Cadmus
19,paul cadmus
19,Cadmus
19,cadmus
20,Ferdinand Pettrich
20,ferdinand pettrich
20,Pettrich
20,pettrich
